سوادآموزئ وغيررسمي,فوق ليسانس وبالاتر,فوق ديپلم و ليسانس,ديپلم و پيش دانشگاهي,متوسطه,راهنمايي,ابتدايي,كل,جنس و استان
14704,208897,1131274,773855,16811,557231,408164,3110938,مرد و زن
436,13070,53244,34904,0,20656,16342,138655,آذربايجان شرقي
968,5846,26334,20405,305,25144,30268,109272,آذربايجان غربي
692,3464,21685,16873,329,11140,13498,67683,اردبيل
401,11712,85783,68540,1179,43720,40540,251877,اصفهان
422,7359,37681,34701,1997,23906,10837,116905,البرز
40,2124,10657,4044,0,1165,982,19014,ايلام
0,1504,13271,7904,551,6036,4228,33497,بوشهر
1840,52656,205109,147318,1271,64635,35013,507846,تهران
245,3785,19426,12611,372,14496,9856,60794,چهارمحال وبختيارئ
110,1206,9695,6866,412,4159,2995,25444,خراسان جنوبي
1512,13198,75322,55820,1854,69067,62600,279375,خراسان رضوئ
567,1036,7871,6173,126,6341,7225,29342,خراسان شمالي
513,11464,71292,45649,574,35190,22769,187452,خوزستان
250,1318,10423,8829,646,5947,5394,32809,زنجان
0,1804,7083,3598,0,3143,1532,17162,سمنان
244,4036,19731,15712,163,20405,13009,73301,سيستان وبلوچستان
237,9244,78771,46747,564,28856,13990,178412,فارس
0,1536,14446,9700,176,11649,9433,46943,قزوين
407,1386,11906,10201,473,8728,7570,40674,قم
771,2811,26767,19084,0,15031,13323,77789,كردستان
167,6180,50487,30417,214,9487,5343,102298,كرمان
1962,7004,41322,35563,689,35794,18601,140938,كرمانشاه
0,3550,14356,5771,229,2291,1218,27419,كهگيلويه وبويراحمد
830,2962,21761,13494,571,16922,12665,69207,گلستان
423,9245,38758,24407,162,16287,11021,100305,گيلان
571,4349,30371,15056,760,9950,5858,66918,لرستان
0,14569,68745,28224,0,11995,5495,129031,مازندران
0,1567,11655,8999,0,6371,3594,32188,مركزئ
254,2182,14048,15282,1216,10722,7903,51610,هرمزگان
268,3482,15952,8666,843,10497,11419,51129,همدان
564,3234,17307,12285,1124,7488,3631,45636,يزد
11272,90342,524774,594208,14556,509221,364037,2108412,مرد
436,7100,31730,27491,0,18916,15243,100919,آذربايجان شرقي
968,2606,15005,19509,305,24980,30202,93579,آذربايجان غربي
112,1820,11237,13908,123,10150,12664,50017,اردبيل
401,5184,38495,51872,1066,38900,35114,171034,اصفهان
422,4131,17824,25784,1623,22303,10565,82655,البرز
40,1165,4452,3440,0,1165,982,11245,ايلام
0,798,7868,7224,454,5718,3758,25822,بوشهر
1840,19239,99422,109957,1271,61927,31753,325412,تهران
218,1535,9320,10595,340,13578,9407,44996,چهارمحال وبختيارئ
110,611,3320,3950,344,2717,2037,13093,خراسان جنوبي
357,4434,34242,36492,1854,56407,47885,181674,خراسان رضوئ
379,650,3557,5181,53,5766,6862,22451,خراسان شمالي
513,4987,27093,36750,418,32843,21181,123788,خوزستان
250,438,4951,7863,544,5783,5359,25190,زنجان
0,681,3345,2704,0,2813,1467,11012,سمنان
244,1260,6565,12004,163,19783,12506,52526,سيستان وبلوچستان
83,3334,39909,31836,564,26266,11480,113475,فارس
0,634,9322,8641,176,10957,9163,38897,قزوين
262,895,5938,7473,329,7692,6757,29349,قم
771,1325,10548,16568,0,13772,11970,54956,كردستان
167,3954,16661,17417,214,7772,4331,50518,كرمان
1707,4473,17199,33181,689,35017,18537,110806,كرمانشاه
0,1811,7396,4535,229,1924,943,16841,كهگيلويه وبويراحمد
373,1009,9224,9413,338,14697,7988,43044,گلستان
423,3894,17731,20254,74,14200,10458,67038,گيلان
571,1764,13650,13520,760,9731,5858,45856,لرستان
0,6951,27965,21442,0,11069,5053,72482,مازندران
0,901,7235,8084,0,6371,3533,26125,مركزئ
201,991,8908,11754,879,9380,6675,38791,هرمزگان
240,558,9196,7238,788,10263,10955,39240,همدان
173,1197,5453,8112,948,6348,3335,25569,يزد
3432,118555,606499,179647,2254,48010,44126,1002525,زن
0,5970,21514,7413,0,1740,1098,37736,آذربايجان شرقي
0,3240,11329,895,0,163,65,15693,آذربايجان غربي
579,1644,10447,2964,206,989,834,17666,اردبيل
0,6527,47288,16667,112,4819,5426,80843,اصفهان
0,3227,19856,8916,373,1603,272,34250,البرز
0,958,6205,604,0,0,0,7768,ايلام
0,706,5402,680,97,318,470,7675,بوشهر
0,33417,105687,37361,0,2707,3259,182433,تهران
26,2250,10105,2015,32,918,449,15797,چهارمحال وبختيارئ
0,594,6375,2915,67,1441,957,12351,خراسان جنوبي
1155,8763,41080,19327,0,12659,14715,97700,خراسان رضوئ
188,385,4313,991,73,575,363,6891,خراسان شمالي
0,6476,44198,8898,156,2347,1587,63664,خوزستان
0,879,5472,966,101,163,35,7618,زنجان
0,1122,3738,894,0,330,64,6150,سمنان
0,2775,13166,3708,0,622,502,20774,سيستان وبلوچستان
154,5910,38861,14911,0,2589,2509,64937,فارس
0,901,5124,1058,0,692,269,8045,قزوين
145,490,5968,2728,143,1035,813,11324,قم
0,1487,16219,2516,0,1258,1352,22833,كردستان
0,2226,33826,13000,0,1715,1011,51780,كرمان
254,2531,24122,2381,0,777,64,30131,كرمانشاه
0,1738,6960,1236,0,366,274,10577,كهگيلويه وبويراحمد
456,1953,12537,4080,233,2224,4677,26163,گلستان
0,5350,21027,4152,87,2086,562,33267,گيلان
0,2585,16721,1536,0,219,0,21062,لرستان
0,7618,40780,6781,0,926,442,56548,مازندران
0,666,4419,915,0,0,61,6062,مركزئ
53,1191,5140,3528,336,1342,1227,12819,هرمزگان
28,2924,6755,1427,55,234,463,11889,همدان
390,2037,11853,4172,176,1140,296,20067,يزد
